Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Jr. Data Scientist,68 k$-118 k$ (Esti. de Glassdoor),"Description

Job Description:

Why wake up every day and want more when YOU CAN HAVE IT? Do you love KNOWING at the end of each day that your work made a difference? We embrace and solve some of the world's toughest challenges. We’re focused on ensuring our intelligence customers have the right tools, technologies, and tactics to keep pace with an ever evolving threat landscape and succeed in their mission to protect people and critical assets around the world. Who wouldn’t be fulfilled being part of that every day? We know once you join Team Leidos, you are sure to go home at the end of every day knowing YOU MADE A DIFFERENCE, resulting in one of the most REWARDING careers you could have imagined. EACH DAY MATTERS!

Leidos is seeking a Data Scientist to provide mission critical support to our customer. In this role, you will uses Data Science and Engineering techniques to satisfy customer requirements. This role requires familiarization with a broad range of data analysis tools and techniques in order to leads complex projects requiring data analysis, interpretation, and communication to support decision-makers and customers. You will implement data auditing, reporting, and security through the use of existing tools and developing new ones. Requires a familiarization with a broad range of data analysis tools and techniques

Primary Responsibilities

Create innovative solutions to meet the technical needs of customers.
Develop custom data models and algorithms to apply to data sets.
Participate in the development of documentation.
Coordinate closely with customers, Scrum Masters, and cross-functional areas to communicate project statuses and initiatives.
Analyze data to effectively coordinate the installation of new systems or modifications to existing systems.
Support the Agile software development lifecycle.
Communicate key project data to team members and build team cohesion and effectiveness.
Develop and execute project plans leveraging Atlassian tool suite like JIRA and Confluence to track activities.
Apply best practices and standard operating procedures.

Basic Qualifications

Candidate must have a BS and 2-4 years or prior relevant experience or Masters and 2 years or prior relevant experience. Additional years of experience can be accepted in lieu of education.
Excellent communication skills: written, verbal and presentation, in order to coordinate across teams to support decision-makers and customers.

Preferred Qualifications

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience visualizing/presenting data for stakeholders.
Experience querying and analyzing machine logs.

Clearance/Citizenship

Candidate must be US Citizen.
Candidate must have an active TS/SCI with Polygraph

External Referral Bonus:
Eligible

Potential for Telework:
No

Clearance Level Required:
Top Secret/SCI with Polygraph

Travel:
No

Scheduled Weekly Hours:
40

Shift:
Day

Requisition Category:
Professional

Job Family:
Data Scientist

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",3.7,"Leidos
3.7","McLean, VA",10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Data Scientist,94 k$-155 k$ (Esti. de Glassdoor),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
Provide analysis to identify critical issues/questions around member performance.
Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.
Generate hypotheses and analyze data to test and interpret results.
Design and develop data models to predict member outcomes or future impact of key member decisions.
Communicate findings from exploratory and predictive data analysis broadly to team and leaders.
Identify improvement opportunities in reporting and BI tools and collaborate with Products Technology to implement enhancements.
Serve as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced mathematics.
Collaborate with key leaders and clinicians to build analytical acumen across all analytic roles in the organization.
Qualifications:
Relevant degree preferred. Advanced degree a plus.
5 or more years of relevant work experience.
Proficient programming experience using SAS/Python/R.
Demonstrated ability to manage large disparate data sets and using quantitative and qualitative analysis.
Experience effectively communicating and presenting data to a variety of audiences required.
Experience working with health care administrative claims data (ICD-10, MS-DRG, CPT/HCPCS) or electronic medical record data tools (Epic Clarity/Caboodle, Cerner CCL-Discern/PowerInsight) required.
#LI-DM
#IDS
Equal Opportunity Employer: Females/Minorities/Veterans/Individuals with Disabilities
The Company is committed to equal employment opportunity to all employees and applicants without regard to race, religion, color, gender identity, ethnicity, age, national origin, sexual orientation, disability status, veteran status or any other category protected by applicable law.",4.0,"Vizient, Inc.
4.0","Chicago, IL",1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
"Scientist III, Pharma R & D",27 k$-85 k$ (Esti. de Glassdoor),"The Scientist III develops and executes formulation strategies related to product development, such as project planning, experimental design and data evaluations. The Scientist III applies technical expertise and has knowledge of various formulation development approaches. Demonstrates leadership and experience in the area of pre-formulation, formulation and process development of immediate and modified solid dosage, Topicals (cream,gel), Oral liquid and /or Transdermal. The position reports to a Manager/ Principal Scientist as described in the current organization chart of the department.

Essential Functions:
Develops formulation strategy and designs experimental plan, formulation and process development work for oral controlled release and immediate release dosage forms, Topicals, (cream, gel), Oral Liquid, and Transdermal products.
Responsible for selection of raw materials, packaging components and process requirements based on sound scientific principles.
Reviews analytical and clinical data and makes scientific conclusions.
Writes and reviews protocols and batch records for process development and evaluation work, scale up and pivotal batch manufacturing.
Creates and reviews technical documents, reports and presentations for cross functional teams. Writes Modules of ANDA's for submission.
Maintain Design history files for combination products. Develop design and development plan.
Keeps updated on cGMP and current technologies.
Additional Responsibilities:
Provides scientific and technical direction to junior staff members (scientists I, II, technicians & operators) to ensure project deadlines and performance standards are met.
Identifies, analyzes and suggests corrective actions to optimize R&D processes, technologies and regulatory compliance issues.
Equipment: Becomix, Tube filler, Transdermal and liquid manufacturing equipment.
Reviews Junior Scientist work.

Qualifications

Education:
A Master Degree (MS/MA) in Pharmaceutical, Chemistry or related technical field is preferred
A Bachelors Degree (BA/BS) in Pharmaceutical, Chemistry or related technical field is required.
Experience:
3 years or more experience with a Master Degree in development of Pharmaceutical Dosage Forms is required.
5 years or more experience with a Bachelors of Science in development of Pharmaceutical Dosage Forms is required.
Skills:
Must have knowledge of Pharmaceutical product development and manufacturing process. - Intermediate
Must be precise and consistent in day to day developmental work, easily trainable and ready to learn. - Intermediate
Must be able to effectively communicate reports, problems or issues, verbally as well as in writing. - Intermediate
Must have good oral and written communication skills. - Intermediate
Must be able to work in a team environment and be flexible to easily adapt to changes in assignments. - Intermediate
Must follow safe practices as defined by the SOP's and MSDS. - Intermediate
Must be willing to work extended hours as and when required. - Intermediate
Strong interpersonal skills and maintaining cooperative working relationships with others. - Intermediate
Managing multiple projects, duties and assignments. - Intermediate
Specialized Knowledge:
Must possess in depth knowledge and trouble shooting skills with Wurster Bottom Spray Fluid Bed Processors from lab scale to Commercial scale.
Must possess expertise with the use and optimization of extrusion and spheronization manufacturing techniques.
Must have a good understanding of complex modified release dosage forms.
Must Possess in-depth knowledge of the operation and troubleshooting skills for various lab scale equipment to production scale equipment: including Blenders, granulators, planetary mixers, fluid bed dryers, fluid bed coaters, incubators, mills, vibrorotatory sifters, encapsulation equipment (Manual to fully automatic), tablet presses and tablet coaters, roller compaction, packaging.
Works independently once assignments and responsibilities are outlined and delegated. Effective in oral and written communication skills at all levels and cross functionally.

Primary Location: US-NJ-Piscataway
Work Locations: Piscataway 49 49 Colonial Drive Piscataway 08854
Job: Research & Analytics
Organization: Scientific Affairs
Schedule: Regular
Shift: Standard
Employee Status: Individual Contributor
Job Type: Full-time
Job Level: 1st Shift
Travel: No
Job Posting: Dec 4, 2019, 10:41:34 AM",3.3,"Amneal Pharmaceuticals
3.3","Piscataway, NJ",5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
Scientist II,43 k$-96 k$ (Esti. de Glassdoor),"Job Description Summary
BD Biosciences, the leading provider of antibody reagents to the research immunology community, is seeking an outstanding Scientist II to join our highly motivated Research Development team. The Scientist II is responsible for the development and evaluation of new reagents and testing new antibodies for use in flow cytometry applications. The Associate is responsible for routine, accurate and timely testing of experimental samples according to standard protocols and operating procedures. The ability to execute scientific experiments of moderate scope is key. The successful candidate is expected to set up and execute these experiments, be detail oriented, skilled at data analysis and trouble shooting and will be accountable for preparing and presenting data at lab meetings. The Scientist II will prioritize daily workload and work with some supervision.

The associate will participate in the analysis and review of data, report results, and complete all required documentation and database entries. In general, the Scientist II will receive specific instructions and ongoing guidance regarding required tasks and expected results.
Job Description
DUTIES AND RESPONSIBILITIES:
Routine, accurate and timely completion of all assigned experimental tests. Will be expected to efficiently prioritize individual workload.
Independently analyze research data, solve problems with appropriate guidance and effectively plan follow up experiments. Responsible for the execution of experiments with varying complexity using multi-color Flow Cytometry.
Analyze data using FCS Express and FlowJo software, report test results including completion of all required documentation and database entries as required by protocols or operating procedures.
Expected under supervision to develop skills and exercise judgment in troubleshooting routine assigned test procedures and in recommending appropriate corrective actions.
Keeps abreast of the basic requirements for compliance in own area of work and complies with those requirements.
Promotes a safe work environment. Participates in Environmental, Health and Safety programs. Addresses corrective actions whenever a hazard is identified.
Performs other related duties and assignments as required.
KNOWLEDGE AND SKILLS
The ideal candidate has the following skills:
Software: BD FACS Diva, FlowJo, FCS Express, and Microsoft Office Suite.
Hands on experience: designing, performing, and analyzing flow cytometry experiments, preferably on BD flow cytometers (LSRII, LSR Fortessa, Canto, Aria).
Effective interpersonal skills, must be able to work in a cross-functional team-oriented environment to achieve organizational goals.
Effective written and oral communication skills.
Demonstrated ability to follow established policies and procedures.
Demonstrated ability to keep neat, accurate, and complete records.
Effective analytical and problem solving skills.
EDUCATION AND EXPERIENCE
Requires a Bachelor’s degree in cell biology, immunology or related scientific discipline and a minimum of 2-4 years of laboratory experience.
Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.
#LI-Pro
Primary Work Location
USA CA - San Diego (BDB)
Additional Locations
Work Shift",3.8,"BD
3.8","San Diego, CA",10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Senior Scientist I,64 k$-139 k$ (Esti. de Glassdoor),"Job Description Summary
The successful candidate is responsible for the development and evaluation of new reagents and enhancements to existing reagents; Recommends design direction and methodology for reagent components. Uses independent judgment to adapt and modify standard reagent development techniques to solve difficult reagent challenges; Operates with high proficiency in prioritizing workload for team members, assignment of testing, reviewing data, reporting results and communicating with other departments to coordinate routine work; Independently takes lead on troubleshooting and make corrective recommendations for others within team and participates and coordinates new product testing and documentation.

The individual is also responsible for routine, accurate and timely testing of samples according to standard protocols and operating procedures; Executes experiments independently and evaluates, discusses, presents and explains material of moderate to high complexity; Writes and reviews protocols; Works under general direction, but independently determines and defines approach to solutions; Will be relied on to exercise sound judgment and make decisions within broadly defined procedures and practices.
Job Description
DUTIES AND RESPONSIBILITIES:
Responsible for assessing feasibility and viability of new reagent systems.
Searches, Investigates, and supports development of new methods and technologies.
Designs and performs experiments to evaluate and optimize new reagent formulations and assay methods using some creative solutions.
Prepares protocols, technical reports, and summaries.
Tabulates and analyzes experimental data of moderate to high complexity.
Presents data at group meetings and Technical Reviews. May present data at national scientific meetings.
May serve as the technical lead scientist on a project. Provides problem solving capabilities to difficult problems.
Contributes to the completion of milestones associated with specific projects. Failure to achieve results or erroneous decisions may cause delays in program schedules.
Develops knowledge of BDB Cell Analysis products through training, use and competitor analysis.
Continues pursuit of cell analysis knowledge through seminars and webinars.
May provide training and mentoring to junior staff.
Participates in functional and cross-functional training to advance technical capabilities.
Participates in training on regulatory issues affecting reagent development. Brings regulatory compliance questions/issues to the attention of supervisor.
Promotes a safe work environment. Offers recommendations on maintaining the safety of the work environment. Participates in Environmental Health & Safety programs. Participates in addressing corrective actions whenever a hazard is identified. Notifies supervisor of all observed unsafe work practices.
Works under general supervision with minimal supervision.
KNOWLEDGE AND SKILLS
General knowledge of Immunology, Cell Biology or a related discipline.
Requires experience designing, performing, and analyzing flow cytometry experiments, preferably on BD flow cytometers (LSRII, LSR Fortessa, Canto, Aria).
Desired software skills: BD FACS Diva, FlowJo, FCS Express, and Microsoft Office Suite.
Effective interpersonal skills, must be able to work in a cross-functional team-oriented environment to achieve organizational goals.
Effective written and oral communication skills.
Effective interpersonal skills.
Demonstrated ability to follow established policies and procedures.
Demonstrated ability to keep neat, accurate, and complete records.
Demonstrated ability to interpret and present data of moderate to high complexity.
Effective analytical and problem-solving skills.
EDUCATION AND EXPERIENCE
Ph.D. in Immunology (or a related life science discipline) with a minimum of 2 years of laboratory experience in addition to PhD studies preferred; Or MS or Bachelor’s degree with minimum 8-10 years industry or research laboratory or equivalent experience.
Minimum of 4 years of experience operating a flow cytometer.
Experience with Immunohistochemistry is a plus.
Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.
#LI-Pro
Primary Work Location
USA CA - San Diego (BDB)
Additional Locations
Work Shift",3.8,"BD
3.8","San Diego, CA",10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD)
Research Scientist,-1,"Job Description:

Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.

We believe an employee's specific academic training is not as important as their innate ability and willingness to learn new areas of mathematics and work on difficult problems.

Required Qualifications:
MS or PhD in Computer Science, Mathematics, Applied Mathematics, Physics or Operations Research
Some programming experience is preferred (C, C++, Java, Matlab, etc.)
Mathematical, simulation, or physical modeling experience highly desired
US Citizenship required, position will require background investigation to authorize access to classified information

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",51 to 200 Employees,Company - Private,Company - Private,Manufacturing,$25 to $50 million (USD),-1
Clinical Laboratory Scientist,-1,"While upholding the Star Valley Health mission, vision, and values this key position is responsible for the delivery of quality patient care through the operations of the Laboratory. The scope of the department is to obtain and evaluate specimens to assist in the diagnosis of patients. This is an “at-will” position.
Job Duties
Greet patients and educate them in the proper specimen collection methods
Perform various lab test (routine/stat) in hematology, special chemistry, chemistry, serology, blood bank, microbiology and urinalysis
Maintain instruments/analyzers per manufacturer specifications, monitor quality controls and calibrations as needed per testing schedules
Prepares slides as necessary for microscopic analysis
Validate test results, report results in the computer system, notify physicians of any critical values
Professionally draw blood specimens from patients (adult/children/babies) by using appropriate methods and equipment
Knowledge of various techniques in collecting specimens
Label specimens for identification purposes and enters specimen data into the EMR
Transmit test results to providers as per requested orders
Handle the confidential and proprietary information on a daily basis
Familiar with and follow personal protection equipment practices and infection control
Inventories and requisitions medical laboratory supplies; stocks work area as needed
Maintain a clean and organized work area
Attend classes and training as scheduled and required
Other duties as assigned and needs arise
Requirements
Abilities & Skills:
Maintain a team and positive work environment
Adaptable to work as an individual and as a team
Ability to lift twenty-five (25) pounds on a regular basis, fifty (50) pounds or more from time to time
Constant standing, walking, pushing, pulling, bending, and reaching throughout the workday
Comply with HIPAA and other federal, state and local regulation, as well, as maintain the highest degree of confidentiality in patient, visitor, and staff matters
Aptitude to follow written and oral communications
Maintain a working relationship with other employees within the department and throughout
the organization
Strong multi-tasking skills with the ease of changing direction upon request or as needed
Skill to work with patients with respect to their situation
Experience & Education:
Strong work ethic and attention to detail
Bachelor’s degree in Clinical Laboratory Science or Biological Sciences or Chemistry
Associates degree in Clinical Laboratory Science or Biological Sciences or Chemistry acceptable
CLS registry or registry eligible
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Retirement plan
Vision insurance
Schedule:
Day shift
Night shift
Education:
Associate (Preferred)
Experience:
Phlebotomy: 1 year (Preferred)
Laboratory Experience: 1 year (Preferred)
Work Location:
One location
Company's website:
https://starvalleyhealth.org/
Benefit Conditions:
Waiting period may apply
COVID-19 Precaution(s):
Personal protective equipment provided or required
Temperature screenings
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",-1,Star Valley Health,Wyoming,201 to 500 Employees,Company - Public,Company - Public,-1,-1,-1
Research Scientist,-1,"MatMaCorp is a materials engineering and biological science company located in Lincoln, Nebraska. We are actively developing small, portable and easy to use medical and scientific instruments along with accompanying DNA and RNA based test kits. Currently, we have an opening within our Biology Group for a Research Scientist.
We are looking for dynamic individuals with creative abilities who can work within a multidisciplinary team of scientists and engineers. Individuals must have experience in basic DNA/RNA technology and familiarity with molecular biology and/or biochemistry. Ideal candidates will have experience in experimental design, assay development, and a proven track record of project management. Experience in the industry setting is plus.
Qualifications: Master’s or Ph.D. in Microbiology, Molecular Biology, Virology or other related areas. This is a full-time position with benefits including health, dental and paid vacation. To apply, please forward your resume along with cover letter to Andrew Rush, Human Resources.
Job Type: Full-time
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
www.matmacorp.com
Work Remotely:
No",2.9,"MatMaCorp
2.9","Lincoln, NE",1 to 50 Employees,Unknown,Unknown,-1,-1,-1
Senior Data Analyst,-1,"Now Hiring a Senior Data Analyst

Interested in building a large scale, modern data ecosystem as a member of a transformation focused consulting company that is working with one of the largest financial service companies in the US? Join us as we transform and modernize our clients' data environment into a robust and intelligent data ecosystem. This is a fast-moving, forward-leaning initiative to build a full featured platform which will serve as the backbone for their big data and data analytics innovations. We are looking for modern data enthusiasts who want to make a big impact, deliver great technology, and work on an exciting team. This is a remote position but must be able to commute to Chevy Chase, MD occasionally .

Required Skills

Collaborate with members of the development team and project managers to deliver solutions that surpass client expectations.
Understand Big Data Concepts including Data Lakes, Data Warehouses, Data Marts, Analytical Marts, Feature Marts
Be proficient in SQL and be able to construct SQL queries for data analysis
Experience in the use of Data modeling tools like Erwin and how to reverse engineer data using Erwin
Be able to review and understand Conceptual, Logical and Physical data models
Experience working on cross functional Agile teams
Agile requirements experience - be able to construct a product backlog, write Epics, Features, User stories
Be able to facilitate business and technical requirements definition discussions with business and technical stakeholders
Exposure to Hadoop and the Hadoop ecosystem of tools such as Hive, and understand the purpose and use of these technologies and tools at a conceptual level
Strong analytic skills related to working with both structured and unstructured datasets.
Work with stakeholders including the Executive, Product, Data, and Design teams to assist with identifying and solving data-related requirements
Identify, analyze, and interpret trends or patterns in complex data sets.
Ability to build processes supporting data transformation, data structures, metadata, dependency, and workload management.

Desired Skills

Experience with DBVisualizer data analysis tool
Experience with Aginity Pro
Experience with AB Initio EME data analysis tool
Experience with Collibra Data Governance tool

Profile of Success

Utilize BS/BA degree or equivalent work experience combined with 1-3 years of experience in Data.
Big Data, EDW, Data Analysis, BI Reporting, and Triaging experience
Desire to gain or use extra-curricular certifications as part of ongoing professional growth.
Desire to learn Private Cloud and Hybrid cloud configuration, patterns and practices.

About AIS

AIS, Dedicated to Our People

AIS employees can spend their entire career at AIS doing challenging, rewarding work and reach their desired level of achievement and responsibility. We offer the opportunity to move up, without the obligation to move out of a position where one excels. We are committed to our employee's success; however, they define it.

It's our dedication to our employees that inspired our leadership to invest in our future and become partially employee-owned through an Employee Stock Ownership Program (ESOP).

Our employees are our greatest strength, and we do all that we can to serve them. We invest in technology as early adopters, allowing us to create transformative and innovative solutions for our customers while exposing our team to cutting edge technology.

We hire outstanding individuals who are committed to curiosity, passionate about emerging technology, and who are excited to find innovative solutions for the biggest tech challenges facing international brands and government agencies today.

We Invest in Individuals Committed to Innovation

AIS is seeking professionals of a certain character and level of excellence. People that we can learn from and that we can help grow to achieve their personal career goals. We are looking for:

Smart people with a passion for technology
Strong technical capabilities with a consultancy mindset
Close involvement with local technical communities
A willingness to think outside of the box to provide innovative solutions to clients
Ability to solve challenging technical business problems
Self-directed professionals

Our Core Values

Client Success
Continued Learning and Technical Excellence
Strong Client Relationships
Citizenship and Community

AIS is an Equal Opportunity Employer

Applied Information Sciences is an Equal Opportunity Employer and does not discriminate on the basis of race, national origin, religion, color, gender, sexual orientation, age, disability, protected veteran status or any other basis covered by law. Employment decisions are based solely on qualifications merit, and business need.",4.4,"Applied Information Sciences
4.4",Maryland,501 to 1000 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Autonomous Driving Data Engineer,99 k$-178 k$ (Esti. de Glassdoor),"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking an experienced Big Data Engineer to help building up our large-scale data management system for the ADAS / Autonomous Driving team. This field allows contributions on various levels around the data pipeline and data processing, data annotation, machine learning, data ingestion, data pre-processing, integration of Deep Neural Network frameworks, efficient data search and high performance data manipulation.
You Will:
Work with a state-of-the-art data pipeline on the development and test process of the ADAS/AD features
Enable efficient data (pre-)processing in our cloud infrastructure
Contribute to the architecture and implementation of an efficient data ingestion process to transfer and store large-scale vehicle sensor data from our Lucid Air test vehicles efficiently into our data storage
Help to optimize the data storage, search and data processing based on a diverse mix of storage solutions, caching techniques and big data frameworks.
Contribute to the implementation of a secure distributed data access solution for data on-premise and via cloud providers to connect Lucid data with service providers and partners
Work with machine learning experts, testing engineers and software developers to solve challenging development problems
You Bring:
Knowledge of database systems, big data concepts and cluster computing frameworks (e.g. Spark, Hadoop, or other tools)
Excellence in C++, Python, Java or other related programming languages
Previous experience with big data applications or back-end software development
Experience with machine learning, data engineering, deep learning frameworks and related open-loop testing techniques
Strong communication skills
Great to Have:
Previous experience building efficient large-scale data collection, storage and processing pipelines
Understanding of cyber-security issues and best practices
Advanced degrees preferred
Education:
BS minimum in the areas of Computer Science/Engineering, Data Engineering or other related fields
4+ years of work experience or a PhD in a related field
LMHP #ACLP

Be part of something amazing

Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations.

To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.",3.8,"Lucid Motors
3.8","Newark, CA",1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
